Country,Population
South Sudan,"14,746,494"
Guinea,"13,261,638"
Rwanda,"13,246,394"
Burundi,"12,837,740"
Benin,"12,606,998"
Bolivia,"12,006,031"
Tunisia,"11,850,232"
Belgium,"11,814,353"
Papua New Guinea,"11,781,559"
Haiti,"11,743,017"
Jordan,"11,516,000"
Cuba,"11,089,511"
Czech Republic,"10,900,555"
Dominican Republic,"10,760,028"
Sweden,"10,549,287"
Portugal,"10,467,366"
Greece,"10,413,982"
Azerbaijan,"10,151,517"
Tajikistan,"10,077,600"
Israel,"9,867,000"
Honduras,"9,745,149"
Hungary,"9,584,000"
United Arab Emirates,"9,282,410"
Belarus,"9,200,617"
Austria,"9,159,993"
Switzerland,"8,960,817"
Sierra Leone,"8,494,260"
Togo,"8,095,498"
Hong Kong (China),"7,498,100"
Laos,"7,443,000"
Kyrgyzstan,"7,100,000"
Turkmenistan,"7,057,841"
Libya,"6,931,061"
El Salvador,"6,884,888"
Nicaragua,"6,733,763"
Serbia,"6,641,197"
Bulgaria,"6,447,710"
Somaliland,"6,200,000"
Republic of the Congo,"6,142,180"
Paraguay,"6,109,644"
Denmark,"5,961,249"
Singapore,"5,917,600"
Central African Republic,"5,633,412"
Finland,"5,574,011"
Norway,"5,550,203"
Lebanon,"5,490,000"
Palestine,"5,483,450"
Slovakia,"5,424,687"
Ireland,"5,281,600"
New Zealand,"5,305,600"
Costa Rica,"5,262,225"
Liberia,"5,248,621"
Oman,"5,113,071"
Kuwait,"4,670,713"
Mauritania,"4,475,683"
Panama,"4,064,780"
Croatia,"3,855,641"
Eritrea,"3,748,902"
Georgia,"3,736,400"
Mongolia,"3,457,548"
Uruguay,"3,444,263"
Bosnia and Herzegovina,"3,277,082"
Puerto Rico (US),"3,205,691"
Namibia,"3,022,401"
Armenia,"2,981,200"
Lithuania,"2,886,515"
Jamaica,"2,825,544"
Albania,"2,761,785"
Qatar,"2,656,032"
Moldova,"2,512,758"
Gambia,"2,417,471"
Botswana,"2,410,338"
Lesotho,"2,306,000"
Gabon,"2,233,272"
Slovenia,"2,123,103"
Latvia,"1,872,500"
North Macedonia,"1,832,696"
Guinea-Bissau,"1,781,308"
Kosovo,"1,762,220"
Bahrain,"1,577,059"
Equatorial Guinea,"1,558,160"
Trinidad and Tobago,"1,367,510"
Estonia,"1,366,491"
East Timor,"1,354,662"
Mauritius,"1,261,041"
Eswatini,"1,223,362"
Djibouti,"1,001,454"
Cyprus,"918,100"
Fiji,"893,468"
Bhutan,"770,276"
Comoros,"758,316"
Guyana,"743,699"
Solomon Islands,"734,887"
Macau (China),"683,700"
Luxembourg,"672,020"
Montenegro,"616,695"
Suriname,"616,500"
[disputed  – discuss] Western Sahara,"587,259"
Malta,"519,562"
Maldives,"515,132"
Cape Verde,"491,233"
Brunei,"445,400"
Belize,"397,483"
Bahamas,"397,360"
Iceland,"383,726"
Northern Cyprus,"382,836"
Transnistria,"360,938"
Vanuatu,"301,295"
French Polynesia (France),"279,890"
New Caledonia (France),"268,510"
Barbados,"267,800"
Abkhazia,"244,236"
São Tomé and Príncipe,"214,610"
Samoa,"205,557"
Saint Lucia,"178,696"
Guam (US),"153,836"
Curacao (Netherlands),"148,925"
Kiribati,"120,740"
Grenada,"112,579"
Saint Vincent and the Grenadines,"110,872"
Aruba (Netherlands),"106,739"
Micronesia,"105,754"
Jersey (UK),"103,267"
Antigua and Barbuda,"100,772"
Seychelles,"100,447"
Tonga,"100,179"
U.S. Virgin Islands (US),"87,146"
Andorra,"85,101"
Isle of Man (UK),"84,530"
Cayman Islands (UK),"71,105"
Dominica,"67,408"
Guernsey (UK),"64,091"
Bermuda (UK),"64,055"
Greenland (Denmark),"56,865"
South Ossetia,"56,520"
Faroe Islands (Denmark),"54,547"
American Samoa (US),"49,710"
Northern Mariana Islands (US),"47,329"
Saint Kitts and Nevis,"47,195"
Turks and Caicos Islands (UK),"46,131"
Sint Maarten (Netherlands),"42,938"
Marshall Islands,"42,418"
Liechtenstein,"40,023"
Monaco,"39,050"
Gibraltar (UK),"34,003"
San Marino,"33,916"
Saint Martin (France),"32,358"
British Virgin Islands (UK),"31,538"
Åland (Finland),"30,547"
Palau,"16,733"
Anguilla (UK),"15,701"
Cook Islands,"15,040"
Nauru,"11,680"
Wallis and Futuna (France),"11,369"
Tuvalu,"10,679"
Saint Barthélemy (France),"10,585"
Saint Pierre and Miquelon (France),"6,092"
"Saint Helena, Ascension and Tristan da Cunha (UK)","5,651"
Montserrat (UK),"4,433"
Falkland Islands (UK),"3,662"
Norfolk Island (Australia),"2,188"
Christmas Island (Australia),"1,692"
Niue,"1,689"
Tokelau (NZ),"1,647"
Vatican City,764
Cocos (Keeling) Islands (Australia),593
Pitcairn Islands (UK),47
